N,P,K,temp,ph,label
24,140,205,12.087022,5.93202852,grapes
13,132,203,23.60115364,6.423216506,grapes
5,126,197,12.80000387,6.417500829,grapes
30,120,200,38.06099482,6.234904253,grapes
23,142,197,39.06555518,6.000573725,grapes
26,135,203,33.78372897,5.685102769,grapes
7,126,203,16.76201707,5.662140095,grapes
32,139,198,35.89307536,6.358186848,grapes
9,141,202,21.01245395,6.119495295,grapes
20,142,196,10.89875873,6.207600783,grapes
32,129,201,16.36251869,6.48754639,grapes
3,134,199,20.28370163,5.81717753,grapes
38,138,204,25.11108456,6.325480034,grapes
14,131,198,33.4641162,5.562790949,grapes
20,122,204,11.7976469,6.487369687,grapes
40,126,201,11.36300891,6.116982944,grapes
36,128,204,25.23542319,5.695792761,grapes
11,132,197,15.99050693,5.734317007,grapes
0,137,195,22.4359017,6.329499832,grapes
19,123,200,34.76086052,6.167013532,grapes
31,136,197,31.11047251,5.653776058,grapes
4,134,200,28.57828803,5.840256272,grapes
39,139,201,41.18664903,5.539980812,grapes
8,127,196,27.02766138,5.833302165,grapes
39,138,203,21.19339319,6.399433771,grapes
32,120,204,10.38004759,6.138958698,grapes
12,142,203,31.3115978,5.972850838,grapes
8,133,195,20.46657776,6.456079585,grapes
8,139,199,29.36947679,6.336426667,grapes
21,134,202,10.72302459,6.425419926,grapes
40,140,195,14.97846952,6.294395676,grapes
39,127,202,15.3246651,6.477768039,grapes
19,120,195,18.73932187,5.931538447,grapes
21,139,201,19.3642553,5.980598579,grapes
17,136,195,41.20733624,6.389783283,grapes
33,139,203,33.34214482,5.693287415,grapes
22,133,201,23.81995682,6.00299607,grapes
32,130,196,40.66012294,6.372959542,grapes
37,135,205,11.82768186,5.510924849,grapes
15,140,195,13.28504331,5.69945282,grapes
39,132,196,35.83089092,5.778594403,grapes
40,121,199,26.18159716,6.315586313,grapes
40,132,202,24.57558351,5.971813006,grapes
29,142,203,29.67229086,5.891195653,grapes
32,121,199,39.37102553,6.129812716,grapes
6,140,205,17.66558428,6.313085601,grapes
8,120,196,24.06679352,6.053662544,grapes
34,133,202,15.31413469,5.804799142,grapes
35,135,199,21.77466746,6.400719746,grapes
16,145,199,26.91624843,5.953966361,grapes
8,136,201,41.65602996,5.609255992,grapes
25,129,195,17.98667801,5.777271492,grapes
16,130,201,29.12033769,5.682395429,grapes
39,129,203,34.38922481,5.863996687,grapes
38,135,203,41.36106301,6.444373116,grapes
33,120,205,35.12158265,5.550832178,grapes
35,125,204,19.6491772,6.107741788,grapes
1,132,200,16.27852801,5.620745638,grapes
39,140,203,21.11903604,6.349875906,grapes
28,145,202,19.2077707,6.484323189,grapes
6,128,200,25.96308415,5.838748311,grapes
6,139,199,25.67385024,6.29099842,grapes
29,122,196,41.94865736,5.638328481,grapes
37,144,197,11.18994268,6.415555956,grapes
38,120,197,17.5438296,6.323722572,grapes
38,141,198,13.05809741,5.757009965,grapes
14,121,203,9.724457611,6.158689406,grapes
6,125,204,27.92004934,5.733539807,grapes
32,138,197,9.535585543,5.908724337,grapes
11,124,204,13.42988625,6.361141107,grapes
23,138,200,9.851242629,5.96537863,grapes
40,143,201,24.97256132,6.476757723,grapes
6,142,202,27.23708304,6.224542938,grapes
37,124,195,18.70679077,6.209928251,grapes
35,134,204,9.949929082,5.841138354,grapes
119,25,51,26.47330219,6.283818329,watermelon
119,19,55,25.18780042,6.818261383,watermelon
105,30,50,25.29954705,6.37620108,watermelon
114,8,50,24.74631269,6.581587932,watermelon
93,22,52,26.58740671,6.932739726,watermelon
80,26,55,24.53442564,6.140099215,watermelon
85,27,45,26.0713757,6.467095849,watermelon
85,22,53,25.96534238,6.849471704,watermelon
82,22,45,26.22338015,6.512196212,watermelon
118,13,54,24.41311871,6.039584629,watermelon
83,25,53,26.49195283,6.057697106,watermelon
86,15,47,24.04355803,6.423898762,watermelon
101,10,47,25.5421695,6.936997681,watermelon
119,9,50,26.74550678,6.251286661,watermelon
104,17,46,25.7131428,6.190015912,watermelon
95,12,51,25.76484262,6.681606702,watermelon
102,14,52,26.79489868,6.51075991,watermelon
109,21,55,24.9004602,6.770278088,watermelon
81,18,50,26.80750629,6.429788073,watermelon
103,17,51,25.11189154,6.209888345,watermelon
105,14,50,26.2148837,6.419052193,watermelon
97,8,52,24.9103226,6.237861736,watermelon
120,19,49,25.79448878,6.762471629,watermelon
95,16,55,25.26931156,6.612847999,watermelon
83,29,52,25.76402693,6.704688865,watermelon
83,9,45,25.85483596,6.049609892,watermelon
91,21,50,24.33528185,6.762030215,watermelon
116,5,54,25.37601283,6.65398725,watermelon
112,28,54,24.86094646,6.738030547,watermelon
88,29,51,24.71885473,6.095689937,watermelon
118,15,45,24.21495706,6.538006356,watermelon
92,21,48,25.81692236,6.377427122,watermelon
106,14,45,24.47018505,6.417011754,watermelon
99,5,47,24.13078816,6.649086972,watermelon
98,8,51,26.1793464,6.25933595,watermelon
108,22,46,26.17668721,6.121168559,watermelon
119,7,55,26.03867719,6.031424482,watermelon
117,27,48,26.53259325,6.835268184,watermelon
109,10,53,26.81938687,6.551750306,watermelon
80,16,46,25.50405534,6.940236218,watermelon
100,18,52,26.20234499,6.87606733,watermelon
91,7,53,25.13735887,6.457216535,watermelon
86,6,53,25.92030221,6.921847888,watermelon
107,5,52,26.6634609,6.881425746,watermelon
103,16,49,24.06731461,6.915717008,watermelon
101,20,48,24.6774157,6.206247494,watermelon
85,25,47,26.11440416,6.29542477,watermelon
84,7,51,26.81530456,6.399669044,watermelon
102,28,54,25.15623099,6.862157042,watermelon
98,25,52,25.2801372,6.224066378,watermelon
97,25,50,26.22005978,6.093814669,watermelon
90,16,45,24.92093261,6.291540278,watermelon
95,12,46,26.21667586,6.32281728,watermelon
82,23,49,26.81383586,6.873283991,watermelon
82,25,51,24.31334971,6.074209622,watermelon
110,28,46,24.29105004,6.49889585,watermelon
118,21,51,24.42998931,6.678805092,watermelon
120,20,45,25.66576039,6.114128685,watermelon
91,7,52,25.07803672,6.405054243,watermelon
81,6,55,24.88910524,6.110142735,watermelon
101,13,54,25.42900869,6.828982708,watermelon
101,17,55,24.37118217,6.451499764,watermelon
111,6,53,26.4930645,6.313512999,watermelon
107,10,49,25.83202912,6.755192025,watermelon
115,11,46,24.41592661,6.623167177,watermelon
84,25,52,24.37190239,6.12532356,watermelon
120,7,47,24.24782473,6.653867608,watermelon
91,12,46,24.64458469,6.343942518,watermelon
89,22,52,24.89681131,6.217300786,watermelon
113,19,46,25.41864024,6.286387658,watermelon
97,22,50,26.26028739,6.7698938,watermelon
117,30,50,24.90123934,6.744966312,watermelon
90,14,52,24.84740848,6.391858432,watermelon
104,23,47,26.98212846,6.770434148,watermelon
81,16,45,26.90435747,6.727468157,watermelon
88,5,47,25.86475496,6.662244646,watermelon
92,7,45,26.70607759,6.944640222,watermelon
81,18,50,26.44019475,6.507110986,watermelon
111,5,55,26.283443,6.520663422,watermelon
108,23,51,26.84366082,6.106500787,watermelon
113,30,50,26.03967219,6.277484043,watermelon
83,10,53,24.92994759,6.195142279,watermelon
101,11,51,25.50736962,6.792035575,watermelon
114,21,55,25.4438391,6.472756256,watermelon
99,6,45,26.12588914,6.000975617,watermelon
92,20,55,25.10474753,6.587791262,watermelon
92,7,48,26.27520631,6.956508826,watermelon
91,24,55,26.27061608,6.259086583,watermelon
110,21,54,26.73690828,6.747537642,watermelon
112,25,51,25.04746944,6.932537231,watermelon
89,25,54,24.69368934,6.353107393,watermelon
100,10,53,24.54356968,6.211748957,watermelon
83,22,54,25.89762315,6.277245254,watermelon
95,14,50,26.6333118,6.560443519,watermelon
119,30,49,25.35794749,6.903020221,watermelon
97,12,47,25.28784623,6.765094964,watermelon
110,7,45,26.63838589,6.189213927,watermelon
96,18,50,25.3310446,6.904241707,watermelon
83,23,55,26.89750174,6.463271076,watermelon
120,24,47,26.98603693,6.260838965,watermelon
115,17,55,27.57826922,6.776533055,muskmelon
114,27,48,27.82054812,6.528404378,muskmelon
101,25,52,29.09910406,6.750145572,muskmelon
118,18,52,28.04943594,6.562832807,muskmelon
95,26,45,29.91690582,6.117530021,muskmelon
81,25,49,29.86895762,6.076459669,muskmelon
117,24,53,29.17220859,6.293486295,muskmelon
114,30,51,29.24908541,6.069171847,muskmelon
113,6,52,27.76317235,6.740983646,muskmelon
108,26,52,28.82629037,6.201797639,muskmelon
81,30,48,28.52379742,6.041027474,muskmelon
115,9,52,29.06785065,6.019372459,muskmelon
83,7,45,29.08417927,6.704104127,muskmelon
84,21,55,28.47090661,6.494251024,muskmelon
109,26,45,28.27973674,6.224535449,muskmelon
95,27,55,28.47212559,6.160414414,muskmelon
119,5,55,29.68846716,6.168757984,muskmelon
110,14,51,27.02415146,6.085444691,muskmelon
82,18,48,29.09588297,6.159050816,muskmelon
87,14,48,29.69238699,6.606033244,muskmelon
85,9,53,28.20619412,6.447662945,muskmelon
100,6,53,29.05248036,6.105909623,muskmelon
107,12,46,29.57240298,6.559763394,muskmelon
91,13,47,29.10968327,6.14410903,muskmelon
102,25,50,28.20480805,6.099662369,muskmelon
117,25,53,29.11858526,6.413927319,muskmelon
85,21,52,29.62800691,6.075144116,muskmelon
104,25,55,29.81196601,6.123802502,muskmelon
102,24,54,27.72338349,6.698468621,muskmelon
116,25,50,29.26092798,6.088885814,muskmelon
100,17,48,29.72791119,6.367800632,muskmelon
110,25,54,28.91105641,6.425930938,muskmelon
104,25,51,28.96361426,6.469983276,muskmelon
107,11,54,28.59052369,6.094016338,muskmelon
98,26,52,27.33897716,6.150090899,muskmelon
88,17,52,29.90415889,6.646962425,muskmelon
87,25,46,27.42711692,6.379690748,muskmelon
120,8,46,29.55657523,6.732834334,muskmelon
95,13,46,29.84070774,6.126019932,muskmelon
108,22,47,28.53545677,6.161123579,muskmelon
82,13,52,27.11535046,6.442810053,muskmelon
120,23,55,27.84492803,6.732049075,muskmelon
110,22,47,29.03157242,6.243673725,muskmelon
95,23,45,27.82424457,6.266208727,muskmelon
106,10,49,27.72653142,6.350623739,muskmelon
99,12,52,28.69708334,6.002927293,muskmelon
106,20,51,29.73019662,6.342573112,muskmelon
83,11,53,29.54097171,6.163921248,muskmelon
117,19,55,28.80311922,6.121745389,muskmelon
98,26,49,27.29035669,6.130160473,muskmelon
113,20,48,27.46583649,6.440584681,muskmelon
101,17,47,29.49401389,6.185053234,muskmelon
98,7,45,27.79161808,6.157724816,muskmelon
93,22,48,29.12533739,6.776987974,muskmelon
95,21,47,27.93114233,6.431970877,muskmelon
109,12,48,29.45771748,6.708743843,muskmelon
118,12,47,27.96872279,6.010739645,muskmelon
100,14,49,29.48882958,6.365956658,muskmelon
89,9,47,29.47156259,6.668382766,muskmelon
95,16,46,27.0767265,6.74669542,muskmelon
95,7,45,27.30008597,6.031665834,muskmelon
87,6,45,29.82729394,6.40077205,muskmelon
93,20,50,29.93061247,6.448792689,muskmelon
84,29,49,29.94349168,6.251420275,muskmelon
111,5,47,28.03306461,6.274452811,muskmelon
111,5,52,29.8843055,6.135996372,muskmelon
111,15,54,27.7058373,6.194090172,muskmelon
89,11,47,29.78714005,6.327822962,muskmelon
110,15,48,28.57819995,6.212567211,muskmelon
95,30,52,29.48069921,6.640470863,muskmelon
115,12,52,27.51492243,6.685553129,muskmelon
120,25,50,28.05457761,6.327210469,muskmelon
102,11,45,29.03167341,6.35544263,muskmelon
94,5,55,28.5854649,6.085682344,muskmelon
84,18,46,27.08808014,6.781050373,muskmelon
107,22,54,27.99611732,6.630301421,muskmelon
80,18,52,27.87317436,6.484799661,muskmelon
86,18,45,28.96586565,6.566759102,muskmelon
113,28,48,28.87726019,6.170520518,muskmelon
115,18,53,29.17052093,6.012480351,muskmelon
82,20,54,29.34033587,6.541150335,muskmelon
98,22,47,29.07265321,6.341400922,muskmelon
117,25,54,28.68275966,6.150686364,muskmelon
83,15,49,28.92705913,6.438008153,muskmelon
120,16,51,27.99901833,6.547041903,muskmelon
111,5,50,27.59350075,6.399891457,muskmelon
85,21,47,29.87331077,6.186770318,muskmelon
90,23,54,28.55852465,6.159020864,muskmelon
99,29,55,29.19378695,6.660954816,muskmelon
102,11,47,27.98780984,6.504906979,muskmelon
80,18,51,28.05380704,6.706053225,muskmelon
87,21,52,27.3506296,6.067665498,muskmelon
114,8,52,29.34081108,6.419083092,muskmelon
99,6,46,28.61475136,6.39637861,muskmelon
89,25,50,27.04863538,6.375923383,muskmelon
96,13,55,29.5275305,6.700337732,muskmelon
82,26,47,28.50416396,6.565312653,muskmelon
106,21,52,28.89578588,6.286515359,muskmelon
90,15,52,27.04927452,6.448061578,muskmelon
106,16,54,28.96017885,6.585872508,muskmelon
24,128,196,22.75088787,5.521466996,apple
7,144,197,23.8494014,6.133220586,apple
14,128,205,22.60800988,6.226289556,apple
8,120,201,21.18667419,6.321152192,apple
20,129,201,23.41044706,5.587905967,apple
32,137,204,22.86006627,5.824151693,apple
27,139,205,22.48403042,5.772179946,apple
0,123,205,22.02775403,5.790993052,apple
22,144,196,21.91191314,6.499226821,apple
1,124,199,23.71059131,5.658473817,apple
30,122,197,21.37784654,5.573241391,apple
29,121,196,22.84852833,6.079497202,apple
13,126,204,23.1094265,6.383180271,apple
9,139,199,23.25230817,5.867420996,apple
0,133,200,23.67287749,5.708418722,apple
30,143,199,23.76881552,5.7983508,apple
36,140,198,23.34386401,6.28188384,apple
37,137,199,22.63946441,5.697945522,apple
33,121,203,22.45696744,5.605934087,apple
7,144,195,22.96388477,5.85648105,apple
35,128,205,21.07273439,6.041053829,apple
29,128,198,22.44075021,5.685062404,apple
2,143,196,22.71271308,5.669489065,apple
34,140,198,21.70416965,5.751707342,apple
29,144,204,22.43324518,5.800448951,apple
32,141,203,21.25941052,5.821347769,apple
13,144,197,22.9215706,6.28022267,apple
25,143,198,22.81212536,6.027314401,apple
9,137,200,21.12152071,5.636687393,apple
6,144,198,21.11478672,5.559363609,apple
37,126,196,23.59997268,5.596449493,apple
2,120,203,23.12652652,5.893492999,apple
11,143,197,22.98458907,5.875718516,apple
10,141,201,22.12659387,6.386021424,apple
24,142,202,22.53779727,5.710819862,apple
23,138,195,22.49095104,5.795985716,apple
18,125,204,22.35548159,6.046673619,apple
13,121,196,22.20700989,6.443382913,apple
26,122,202,22.44516988,5.617227184,apple
28,123,202,22.76643029,6.442289294,apple
26,121,201,22.19109412,6.162034371,apple
21,137,196,23.6119202,5.812781806,apple
21,135,198,23.86087054,5.765015126,apple
5,144,205,21.42177231,6.184922574,apple
2,123,205,22.36629253,5.739652177,apple
15,133,199,23.99686172,5.824778636,apple
31,130,198,21.80129837,5.554823557,apple
25,143,200,23.80436344,6.024248787,apple
16,143,204,23.71475278,5.631333387,apple
19,122,202,23.34467359,5.811975094,apple
10,125,196,22.31253665,5.730557448,apple
20,139,202,23.50201428,5.66999105,apple
28,123,198,23.46260321,5.682751473,apple
28,136,200,23.06204373,6.245858905,apple
2,131,199,22.47420512,6.017370134,apple
2,140,197,22.69780133,5.53456749,apple
27,138,201,23.66682067,5.952367662,apple
30,127,204,22.50050273,6.126436584,apple
32,145,203,23.83053666,6.406818518,apple
29,139,205,23.64142354,6.155939453,apple
26,126,195,21.41363812,5.878568981,apple
40,136,202,22.85267372,5.935336308,apple
6,124,200,22.98208095,5.971332179,apple
35,138,200,21.19909519,5.67130617,apple
17,136,196,23.87192332,5.882155988,apple
33,134,205,21.0365275,6.08551916,apple
16,143,197,22.61711614,5.90402645,apple
27,120,200,21.45278675,6.110218826,apple
29,145,205,22.81227579,6.212302608,apple
3,141,197,21.98141856,6.142803397,apple
15,123,204,22.52709326,6.365972688,apple
5,136,195,22.35628673,6.264202804,apple
10,136,204,21.19852186,6.276198595,apple
7,141,195,23.8812458,5.514253142,apple
2,129,201,22.78234161,5.682343744,apple
29,138,197,22.19055385,5.830892252,apple
30,137,200,22.91430043,5.603413172,apple
29,132,204,23.08950736,6.0967531,apple
14,139,197,21.72484506,6.056529526,apple
18,125,203,22.44307715,6.160267496,apple
33,143,204,21.1316077,5.814434775,apple
40,144,196,22.71750705,5.987262638,apple
9,143,197,23.75033085,5.570020684,apple
38,135,203,23.76121837,5.965551311,apple
28,130,196,22.13450646,6.062356467,apple
35,142,203,21.17089176,5.895319002,apple
12,129,205,22.36238282,6.119432215,apple
1,135,203,22.77856513,5.624203283,apple
0,145,205,21.22503442,5.52078314,apple
31,121,201,23.15791104,5.731535258,apple
35,131,203,22.42776057,5.893490899,apple
29,140,195,23.64082979,5.560521058,apple
33,138,198,22.29423493,6.222390798,apple
14,140,197,23.35225078,6.071255131,apple
35,145,195,22.03911546,6.231950009,apple
40,120,197,23.80593812,5.889480679,apple
25,132,198,22.31944084,5.732757516,apple
31,137,196,22.14464104,6.400321212,apple
36,144,196,23.65167552,6.496934492,apple
10,140,197,22.16939473,6.229498836,apple
22,30,12,15.78144173,6.354006744,orange
37,6,13,26.03097313,7.511755068,orange
27,13,6,13.36050601,7.335158382,orange
7,16,9,18.87957654,7.813916603,orange
20,7,9,29.47741671,7.129136941,orange
26,27,10,28.06903173,6.079998496,orange
5,23,15,25.66901098,7.408939392,orange
0,18,14,29.77149434,7.207991261,orange
39,24,14,30.55472573,7.189259647,orange
13,23,6,23.96147583,7.365338111,orange
21,17,15,23.98289638,7.455991072,orange
33,12,8,25.26052689,6.822282114,orange
6,9,12,31.08368929,7.028746406,orange
19,7,10,14.78003032,6.118430299,orange
24,18,6,26.56608303,6.285312759,orange
9,11,8,24.85903405,6.559236744,orange
31,8,7,34.51465139,7.163245982,orange
22,17,5,24.12188673,6.945562889,orange
13,5,8,23.85340379,7.474710503,orange
16,8,9,24.60297538,7.601189843,orange
4,13,6,15.63211033,7.561143224,orange
0,25,14,19.33516809,6.361671475,orange
8,7,10,28.2620488,6.929216014,orange
4,23,5,22.67594476,7.477935216,orange
33,14,8,21.03200078,7.684420446,orange
30,7,15,33.23453301,7.825531916,orange
21,29,12,22.30318989,6.438668989,orange
11,14,5,11.50322938,6.946354724,orange
9,8,15,14.34320488,7.994465371,orange
5,18,14,33.1056981,7.434118807,orange
29,25,14,30.49183837,7.781988584,orange
33,12,15,30.25578031,6.052318465,orange
8,16,6,12.22816189,7.106650373,orange
15,14,8,10.01081312,6.22094286,orange
16,7,8,22.79196751,6.420457311,orange
0,12,7,20.18432263,6.969249676,orange
5,25,6,30.72119881,6.011302181,orange
6,8,11,24.35590861,6.600948788,orange
10,5,5,21.21306973,7.817846496,orange
1,17,6,10.78689755,6.8198271,orange
1,30,10,11.89925671,7.291405641,orange
0,23,15,22.56664172,7.598729065,orange
24,27,9,18.86883219,6.157135092,orange
36,11,13,17.34083741,7.1917274,orange
40,21,8,34.90665289,7.418761774,orange
40,22,6,24.53610067,6.488221135,orange
32,18,13,13.8377282,6.044167236,orange
9,10,10,22.3551049,6.010391864,orange
13,16,8,34.74004942,6.949838549,orange
15,9,11,11.54785707,7.907956251,orange
29,11,5,23.13338811,7.639788459,orange
1,15,9,29.98364695,7.53350946,orange
18,5,11,20.87947369,6.251586885,orange
14,22,9,17.24944623,6.543191814,orange
33,15,7,15.83388699,7.651225301,orange
4,6,7,23.01014302,6.708889665,orange
17,16,14,16.39624284,6.625538653,orange
12,20,10,24.45132792,6.528354932,orange
34,29,8,31.87859192,6.450640306,orange
39,28,10,31.34920143,7.181907673,orange
31,25,12,18.05142392,7.016482298,orange
12,6,8,30.84835031,6.388617138,orange
12,29,13,22.45616931,7.57125447,orange
26,11,11,13.70319166,7.609348255,orange
19,24,15,20.48954522,7.137136973,orange
39,21,9,13.20844373,6.354022554,orange
16,29,13,32.31944397,6.196907944,orange
36,29,13,20.68185224,7.829507245,orange
37,23,12,31.52675982,6.395258356,orange
39,9,15,25.35467646,7.992041984,orange
31,5,14,17.66545409,6.583411671,orange
18,12,8,12.59093977,6.206053072,orange
20,20,10,11.86631922,6.976997772,orange
5,8,5,11.03367937,6.562594972,orange
20,8,12,25.2990432,7.260416405,orange
25,21,11,32.23797837,6.460044778,orange
14,19,14,17.68408797,6.699164936,orange
37,18,12,10.2708877,7.401121811,orange
26,15,6,17.22034507,6.912033409,orange
13,22,5,19.667056,7.764040111,orange
32,25,9,10.35609594,7.796034006,orange
19,7,9,27.255435,6.969883483,orange
28,7,9,34.5917846,6.730757538,orange
24,30,11,32.39523995,6.601395755,orange
7,17,10,10.16431299,6.465913274,orange
18,23,8,21.49118657,6.41354791,orange
7,20,12,16.53460397,6.475275337,orange
20,23,11,31.8520694,6.407715561,orange
18,14,11,28.04799508,6.550814117,orange
34,11,10,31.75048899,7.36220835,orange
20,29,10,29.07412717,7.36549204,orange
37,24,13,19.14381903,7.8546243,orange
12,8,10,16.14820285,7.995848977,orange
34,10,14,34.05296914,6.725600855,orange
6,13,9,34.51423957,7.786725333,orange
27,30,5,32.71748548,7.656978112,orange
13,8,12,25.16296632,7.105904818,orange
6,7,7,27.68167318,7.199106204,orange
40,17,15,21.35093384,7.871063004,orange
31,26,9,11.69894639,7.566165721,orange
61,68,50,35.21462816,6.793245417,papaya
58,46,45,42.39413392,6.576261427,papaya
45,47,55,38.4191628,6.751452932,papaya
39,65,53,35.33294932,6.560743093,papaya
31,68,45,42.92325255,6.938313356,papaya
70,68,45,33.83508569,6.991626158,papaya
68,62,50,33.20258348,6.977700268,papaya
34,65,47,23.48546973,6.833768535,papaya
38,68,54,29.33710543,6.739170045,papaya
69,64,47,40.21199348,6.993473247,papaya
58,51,47,42.13473976,6.757470637,papaya
59,47,53,32.86316618,6.850663232,papaya
44,64,54,29.80744318,6.74274935,papaya
56,57,48,31.56213762,6.506120752,papaya
69,60,54,36.32268069,6.98992719,papaya
56,58,49,37.13165026,6.69215564,papaya
49,55,53,38.4418717,6.544029776,papaya
38,51,52,32.66160599,6.927803911,papaya
54,65,47,27.92765919,6.721835879,papaya
57,57,51,39.01793345,6.99223441,papaya
39,52,53,32.51247398,6.704204398,papaya
58,67,45,38.72382798,6.702424548,papaya
61,64,52,43.30204933,6.641098708,papaya
34,62,55,27.58548913,6.585346229,papaya
31,48,45,40.78881819,6.563134737,papaya
47,46,52,23.19451074,6.502289473,papaya
32,68,52,32.68067385,6.800321319,papaya
36,59,46,34.28879307,6.721130543,papaya
61,51,51,39.30050027,6.574677594,papaya
70,54,46,39.73149053,6.919342407,papaya
44,56,49,39.23342464,6.519779583,papaya
34,68,51,27.34734861,6.687088098,papaya
50,59,47,40.76998685,6.747975732,papaya
39,70,52,26.26559543,6.65149129,papaya
34,61,49,28.12971499,6.502675132,papaya
44,60,55,34.2804607,6.825371185,papaya
31,62,52,33.7960155,6.99104104,papaya
65,62,51,31.53243779,6.511624841,papaya
44,57,53,42.30495821,6.93172108,papaya
50,47,48,24.63676897,6.712772333,papaya
43,50,48,28.28222883,6.63016515,papaya
60,46,53,24.48620746,6.761953186,papaya
70,68,55,42.84609252,6.691202286,papaya
59,62,52,43.67549305,6.608667684,papaya
60,58,51,42.07213781,6.840802254,papaya
42,60,47,33.46873719,6.834808348,papaya
35,66,47,31.7018373,6.953439161,papaya
34,65,48,41.41968393,6.665024508,papaya
36,54,46,42.54744013,6.662875839,papaya
39,64,52,28.91842453,6.678695788,papaya
37,52,47,43.08022702,6.54277684,papaya
33,47,46,29.20300896,6.839443833,papaya
34,48,48,41.04224355,6.805277038,papaya
49,54,50,25.62446619,6.762522087,papaya
40,65,49,35.32876402,6.678449318,papaya
68,52,49,24.42561272,6.577192175,papaya
50,46,52,31.18298415,6.734005648,papaya
65,63,50,31.88342554,6.524459342,papaya
40,49,47,42.93368602,6.501521192,papaya
42,53,48,23.11407669,6.758479569,papaya
49,55,51,24.87212063,6.676578778,papaya
59,62,49,43.36051537,6.941496806,papaya
63,58,47,26.83054058,6.864143752,papaya
70,65,52,30.42012134,6.583528529,papaya
63,50,52,28.64555584,6.751747609,papaya
40,64,47,32.50037548,6.893509446,papaya
63,58,50,43.03714283,6.720744449,papaya
45,58,49,30.10773379,6.827812549,papaya
66,69,47,23.69212243,6.912299695,papaya
54,67,52,35.67667332,6.586107335,papaya
69,67,52,27.71948962,6.827305908,papaya
67,68,49,35.26824831,6.821774589,papaya
45,57,47,23.16855863,6.656458831,papaya
56,50,52,33.08706051,6.770384816,papaya
70,50,53,37.4620912,6.933809743,papaya
44,47,45,38.73218907,6.579441304,papaya
50,60,47,32.57720726,6.92791761,papaya
52,51,53,38.38231475,6.985804083,papaya
35,68,45,42.93605359,6.612429546,papaya
68,69,52,25.65492304,6.813383387,papaya
32,55,52,37.58899717,6.9677596,papaya
32,55,51,29.60718808,6.57398033,papaya
48,62,47,25.34756111,6.803094965,papaya
39,69,53,25.9300384,6.964955435,papaya
49,61,45,32.76795887,6.764213299,papaya
48,57,54,29.02328049,6.617703178,papaya
69,66,49,40.00439101,6.52711001,papaya
53,55,55,33.32315744,6.709668804,papaya
38,61,52,31.22790131,6.620729882,papaya
57,64,55,26.68386496,6.583760499,papaya
51,57,55,24.70528368,6.676407337,papaya
56,65,45,38.2016825,6.751298936,papaya
54,66,52,36.56769731,6.867554147,papaya
58,55,47,26.05375792,6.742490027,papaya
68,70,54,31.29986342,6.986228647,papaya
42,59,55,40.10207731,6.979102243,papaya
43,64,47,38.58954491,6.825664782,papaya
35,67,49,41.31330062,6.617066674,papaya
56,59,55,37.03551903,6.551892638,papaya
39,64,53,23.0124018,6.598860305,papaya
18,30,29,26.7627493,6.420018717,coconut
37,23,28,25.61294367,5.740054567,coconut
13,28,33,28.130115,5.686972967,coconut
2,21,35,25.02887163,6.293662363,coconut
10,18,35,27.79797651,6.381975465,coconut
7,11,32,29.25902906,5.542169139,coconut
39,5,31,27.10134661,5.551963184,coconut
34,6,27,25.84726298,5.860740481,coconut
31,30,29,26.58580443,5.558807063,coconut
25,7,35,28.38503882,5.55771171,coconut
16,18,26,28.43647052,5.568365926,coconut
26,10,33,28.27298134,6.07071786,coconut
27,8,32,27.00648436,5.627860549,coconut
37,18,30,27.63551259,6.38488418,coconut
19,15,34,26.29644905,5.685889066,coconut
0,19,33,27.1326009,6.234458417,coconut
31,20,26,25.56567803,6.443168642,coconut
9,17,32,25.94951662,5.842317989,coconut
22,11,29,28.03380598,5.955742971,coconut
31,6,26,29.12859129,5.741367375,coconut
34,6,30,27.0828252,5.948342571,coconut
24,6,32,28.11321494,6.387067562,coconut
1,8,26,27.5136304,5.562911913,coconut
31,13,33,27.63834933,5.85971872,coconut
10,9,28,29.01256899,6.282955073,coconut
36,27,26,26.58413917,6.25449571,coconut
38,24,33,28.28905147,5.973853124,coconut
11,6,25,28.69164799,6.081568052,coconut
16,14,30,29.70931288,6.37466756,coconut
33,14,35,27.14865285,6.027707171,coconut
16,6,29,29.28725038,5.868285082,coconut
32,11,31,25.06871967,6.205931638,coconut
38,14,30,26.92449525,5.570745386,coconut
8,6,33,28.27804288,6.095261013,coconut
23,6,33,29.18032562,6.025789594,coconut
29,25,35,28.3575072,5.542873799,coconut
24,14,33,29.38072512,6.366219551,coconut
32,12,30,25.39241091,5.579845008,coconut
30,25,31,26.31270635,5.804965067,coconut
14,21,35,29.52501367,6.121005506,coconut
27,22,29,28.83214859,6.000248647,coconut
40,5,29,28.48444906,5.820978791,coconut
17,11,32,28.74013335,5.620733794,coconut
30,30,35,25.00872392,6.001936419,coconut
28,10,30,29.8690834,6.305740522,coconut
39,7,29,27.54273211,6.362544111,coconut
32,20,35,26.52166434,5.588655387,coconut
7,15,32,25.03512351,6.182232762,coconut
29,17,29,29.20394909,5.959493188,coconut
34,15,34,27.05826457,5.677282678,coconut
14,23,25,26.18552389,5.612122797,coconut
18,19,29,27.59376845,6.206077742,coconut
7,21,35,25.76011662,5.764812076,coconut
24,27,34,28.87862994,6.203376525,coconut
39,29,29,26.50908611,6.143662699,coconut
29,8,28,26.87037587,6.100429497,coconut
